Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Jasper Gold Earring	14630	1	5
Head	Lumberjack's Cap	11542	1	5
Face	Laced Veil	29212	1	5
Ear	Jasper Gold Earring	14630	1	5
Neck	Initiate Symbol of Cazic Thule	1437	1	5
Shoulders	Prayer Cloth of Tunare	1900	1	5
Arms	Ringmail Sleeves	3108	1	5
Back	Burynai Hide Cloak	2729	1	5
Wrist	Runed Mithril Bracer	4406	1	5
Wrist	Bracer of the Forlorn	1524	1	5
Range	Empty	0	0	0
Hands	Iksar Scaled Gloves	11980	1	5
Primary	Springwood Club	6616	1	5
Secondary	Charred Guardian Shield	9311	1	5
Fingers	Platinum Fire Wedding Ring	14679	1	5
Fingers	Platinum Fire Wedding Ring	14679	1	5
Chest	Cold Iron Breastplate	1511	1	5
Legs	Sebilite Scale Leggings	3210	1	5
Feet	Crustacean Shell Boots	28506	1	5
Waist	Ringmail Skirt	3107	1	5
Ammo	Empty	0	0	0
General1	Tax Collection Box	17012	1	10
General1-Slot1	Empty	0	0	0
General1-Slot2	Empty	0	0	0
General1-Slot3	Muffin	13014	20	5
General1-Slot4	Water Flask	13006	20	5
General1-Slot5	Potion of Invisibility	14206	1	5
General1-Slot6	Cloth Wristband	1009	1	5
General1-Slot7	Bone Chips	13073	17	5
General1-Slot8	Cloth Cord	1007	1	5
General1-Slot9	Bone Chips	13073	20	5
General1-Slot10	Cloth Veil	1002	1	5
General2	Medicine Bag	17901	1	8
General2-Slot1	Bronze Mace	6019	1	5
General2-Slot2	Cloth Shirt	1004	1	5
General2-Slot3	Bronze Long Sword	5027	1	5
General2-Slot4	Bronze Long Sword	5027	1	5
General2-Slot5	Darkbone Marrow	16979	1	5
General2-Slot6	Parrying Dagger	9008	1	5
General2-Slot7	Whore's Bane	16994	1	5
General2-Slot8	Bronze Mace	6019	1	5
General3	Medicine Bag	17901	1	8
General3-Slot1	Empty	0	0	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Empty	0	0	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Empty	0	0	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General4	Medicine Bag	17901	1	8
General4-Slot1	Empty	0	0	0
General4-Slot2	Empty	0	0	0
General4-Slot3	Empty	0	0	0
General4-Slot4	Empty	0	0	0
General4-Slot5	Empty	0	0	0
General4-Slot6	Empty	0	0	0
General4-Slot7	Empty	0	0	0
General4-Slot8	Empty	0	0	0
