Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Golden Black Sapphire Earring	14702	1	5
Head	Al`Kabor's Cap of Binding	1271	1	5
Face	Crystal Spider Eyes	25282	1	5
Ear	Golden Black Sapphire Earring	14702	1	5
Neck	Qeynos Badge of Honor	2388	1	5
Shoulders	Loam Encrusted Amice	1645	1	5
Arms	Loam Encrusted Sleeves	1648	1	5
Back	Loam Encrusted Cloak	1646	1	5
Wrist	Loam Encrusted Bracelet	1649	1	5
Wrist	Bracelet of Distortion	12803	1	5
Range	Sifaye Dart	22842	1	5
Hands	Spider Fur Gloves	25311	1	5
Primary	Staff of the Four	14341	1	5
Secondary	Orb of the Infinite Void	25098	1	5
Fingers	Imbued Platinum Fire Ring	20592	1	5
Fingers	Imbued Platinum Fire Ring	20592	1	5
Chest	Manna Robe	1606	1	5
Legs	Loam Encrusted Pantaloons	1651	1	5
Feet	Golden Efreeti Boots	4407	1	5
Waist	Loam Encrusted Sash	1647	1	5
Ammo	Empty	0	0	0
General1	Tax Collection Box	17012	1	10
General1-Slot1	Muffin	13014	18	5
General1-Slot2	Water Flask	13006	18	5
General1-Slot3	Trakanon Idol	1810	1	5
General1-Slot4	Tooth of the Cobalt Scar	31602	1	5
General1-Slot5	Small Portal Fragments	2093	13	5
General1-Slot6	Small Portal Fragments	2093	20	5
General1-Slot7	Small Portal Fragments	2093	20	5
General1-Slot8	Small Portal Fragments	2093	20	5
General1-Slot9	Hole Key	6379	1	5
General1-Slot10	Bone Crafted Key	6378	1	5
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Fishbone Earring	10313	1	5
General2-Slot2	Shiny Brass Idol	14322	1	5
General2-Slot3	Worker Sledgemallet	12863	1	5
General2-Slot4	Peridot	10028	19	5
General2-Slot5	Leatherfoot Raider Skullcap	12259	1	5
General2-Slot6	Amulet of the Void	27710	1	5
General2-Slot7	Bat Wing	13068	4	5
General2-Slot8	Bat Wing	13068	20	5
General2-Slot9	Empty	0	0	0
General2-Slot10	Empty	0	0	0
General3	Medicine Bag	17901	1	8
General3-Slot1	Empty	0	0	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Empty	0	0	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Empty	0	0	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General4	Medicine Bag	17901	1	8
General4-Slot1	Empty	0	0	0
General4-Slot2	Empty	0	0	0
General4-Slot3	Empty	0	0	0
General4-Slot4	Empty	0	0	0
General4-Slot5	Empty	0	0	0
General4-Slot6	Empty	0	0	0
General4-Slot7	Empty	0	0	0
General4-Slot8	Empty	0	0	0
General5	Star of Eyes	14361	1	5
General6	Ring of the Ancients	12268	1	5
General7	Staff of Temperate Flux	6342	1	5
General8	Journeyman's Boots	2300	1	5
Held	Empty	0	0	0
Bank1	Deluxe Toolbox	17877	1	10
Bank1-Slot1	Cloth Coldain Prayer Shawl	1176	1	5
