Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Jasper Gold Earring	14630	1	5
Head	Othmir Fur Cap	24989	1	5
Face	Bloodstone Eyepatch	1410	1	5
Ear	Jasper Gold Earring	14630	1	5
Neck	Qeynos Badge of Honor	2388	1	5
Shoulders	Worked Dragonwing Mantle	27107	1	5
Arms	Crystal Chitin Armplates	25288	1	5
Back	Supple Black Cloak	3604	1	5
Wrist	Bracers of the Reverent	4925	1	5
Wrist	Bracers of the Reverent	4925	1	5
Range	Small Wisdom Deity	16941	1	5
Hands	Crystal Chitin Gauntlets	25290	1	5
Primary	Dark Ember	30143	1	5
Secondary	Crystal Chitin Shield	25287	1	5
Fingers	Clawed Knuckle-Ring	10403	1	5
Fingers	Antiqued Silver Band	10350	1	5
Chest	Chestplate of the Constant	4926	1	5
Legs	Sebilite Scale Leggings	3210	1	5
Feet	Golden Efreeti Boots	4407	1	5
Waist	Black Alloy Girdle	3611	1	5
Ammo	Empty	0	0	0
General1	Dusty Ransacker's Pack	17081	1	8
General1-Slot1	Empty	0	0	0
General1-Slot2	Empty	0	0	0
General1-Slot3	Bottle of Milk	13087	16	5
General1-Slot4	Ration	13007	17	5
General1-Slot5	Trakanon Idol	1810	1	5
General1-Slot6	Tooth of the Cobalt Scar	31602	1	5
General1-Slot7	DawnFire, Morning Star of Light	11648	1	5
General1-Slot8	Peridot	10028	2	5
General2	Hand Made Backpack	17969	1	10
General2-Slot1	Roots	13047	20	5
General2-Slot2	Rabbit Meat	13048	20	5
General2-Slot3	Roots	13047	20	5
General2-Slot4	Rabbit Meat	13048	20	5
General2-Slot5	Roots	13047	20	5
General2-Slot6	Rabbit Meat	13048	5	5
General2-Slot7	Plasmatic Priest Robe	1298	1	5
General2-Slot8	Fishing Grubs	13106	1	5
General2-Slot9	Snake Scales	13070	1	5
General2-Slot10	Empty	0	0	0
General3	Hand Made Backpack	17969	1	10
General3-Slot1	Empty	0	0	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Empty	0	0	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Empty	0	0	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General3-Slot9	Empty	0	0	0
General3-Slot10	Empty	0	0	0
General4	Hand Made Backpack	17969	1	10
General4-Slot1	Empty	0	0	0
General4-Slot2	Empty	0	0	0
General4-Slot3	Empty	0	0	0
General4-Slot4	Empty	0	0	0
